2025-11-07 16:55:51 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_SET","details":{"key":"positions:all","size":62},"category":"AUDIT"}
2025-11-07 16:56:28 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:33 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:38 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:38 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:41 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"positions:all","source":"getPositions"},"category":"AUDIT"}
2025-11-07 16:56:41 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"positions:all","source":"getPositions"},"category":"AUDIT"}
2025-11-07 16:56:41 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:5:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:56:41 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:6:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:56:41 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:5:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:56:41 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:6:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:56:51 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:51 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:51 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:51 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:56 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:57:18 [INFO]: Authentication Event | {"service":"voting-system","userId":"6","action":"ADMIN_LOGIN","category":"AUTH"}
2025-11-07 16:57:29 [INFO]: Statistics Generated | {"service":"voting-system","stats":{"totalVoters":11,"totalVotesCast":12,"voterTurnout":54.55,"positionsWithStats":[{"positionId":5,"positionName":"President","totalCandidates":4,"totalVotes":24,"voterTurnout":54.55,"candidates":[{"candidateId":3,"candidateName":"TIE: Alice Johnson","manifesto":"Experienced leader focused on student welfare and academic excellence.","voteCount":2,"votePercentage":33.33},{"candidateId":4,"candidateName":"TIE: Bob Smith","manifesto":"Tech-savvy innovator dedicated to modernizing club operations.","voteCount":2,"votePercentage":33.33},{"candidateId":5,"candidateName":"Carol Williams","manifesto":"Community organizer with strong communication skills.","voteCount":1,"votePercentage":16.67},{"candidateId":9,"candidateName":"Yohane Maluwa","manifesto":"Inetu ndichitenga ichi.","voteCount":1,"votePercentage":16.67}]},{"positionId":6,"positionName":"Vice President","totalCandidates":3,"totalVotes":18,"voterTurnout":54.55,"candidates":[{"candidateId":6,"candidateName":"TIE: David Brown","manifesto":"Detail-oriented organizer with project management expertise.","voteCount":2,"votePercentage":33.33},{"candidateId":7,"candidateName":"TIE: Emma Davis","manifesto":"Creative thinker focused on event planning and member engagement.","voteCount":2,"votePercentage":33.33},{"candidateId":8,"candidateName":"TIE: Frank Wilson","manifesto":"Analytical problem-solver with financial management skills.","voteCount":2,"votePercentage":33.33}]}],"overallStats":{"totalPositions":2,"totalCandidates":7,"averageVotesPerPosition":6,"mostVotedPosition":"TIE: President & Vice President","leastVotedPosition":"TIE: President & Vice President"}},"category":"STATS"}
2025-11-07 16:57:29 [INFO]: Admin Action | {"service":"voting-system","adminId":6,"action":"VIEW_STATS","target":"overall","details":{"totalVoters":11,"totalVotes":12},"category":"ADMIN"}
2025-11-07 16:57:34 [INFO]: Authentication Event | {"service":"voting-system","userId":"6","action":"ADMIN_LOGOUT","category":"AUTH"}
2025-11-07 16:57:36 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:57:36 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:57:41 [INFO]: Statistics Generated | {"service":"voting-system","stats":{"totalVoters":11,"totalVotesCast":12,"voterTurnout":54.55,"positionsWithStats":[{"positionId":5,"positionName":"President","totalCandidates":4,"totalVotes":24,"voterTurnout":54.55,"candidates":[{"candidateId":3,"candidateName":"TIE: Alice Johnson","manifesto":"Experienced leader focused on student welfare and academic excellence.","voteCount":2,"votePercentage":33.33},{"candidateId":4,"candidateName":"TIE: Bob Smith","manifesto":"Tech-savvy innovator dedicated to modernizing club operations.","voteCount":2,"votePercentage":33.33},{"candidateId":5,"candidateName":"Carol Williams","manifesto":"Community organizer with strong communication skills.","voteCount":1,"votePercentage":16.67},{"candidateId":9,"candidateName":"Yohane Maluwa","manifesto":"Inetu ndichitenga ichi.","voteCount":1,"votePercentage":16.67}]},{"positionId":6,"positionName":"Vice President","totalCandidates":3,"totalVotes":18,"voterTurnout":54.55,"candidates":[{"candidateId":6,"candidateName":"TIE: David Brown","manifesto":"Detail-oriented organizer with project management expertise.","voteCount":2,"votePercentage":33.33},{"candidateId":7,"candidateName":"TIE: Emma Davis","manifesto":"Creative thinker focused on event planning and member engagement.","voteCount":2,"votePercentage":33.33},{"candidateId":8,"candidateName":"TIE: Frank Wilson","manifesto":"Analytical problem-solver with financial management skills.","voteCount":2,"votePercentage":33.33}]}],"overallStats":{"totalPositions":2,"totalCandidates":7,"averageVotesPerPosition":6,"mostVotedPosition":"TIE: President & Vice President","leastVotedPosition":"TIE: President & Vice President"}},"category":"STATS"}
2025-11-07 16:57:41 [INFO]: Admin Action | {"service":"voting-system","adminId":6,"action":"VIEW_STATS","target":"overall","details":{"totalVoters":11,"totalVotes":12},"category":"ADMIN"}
2025-11-07 16:57:41 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:57:41 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:57:41 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:57:46 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:57:51 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:57:56 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:01 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:06 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:06 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:11 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:16 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:19 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"positions:all","source":"getPositions"},"category":"AUDIT"}
2025-11-07 16:58:19 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"positions:all","source":"getPositions"},"category":"AUDIT"}
2025-11-07 16:58:19 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:5:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:58:19 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:6:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:58:19 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:5:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:58:19 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:6:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:58:21 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:26 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:27 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:27 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:27 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:27 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:31 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:32 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:36 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:36 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:58:41 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:59:00 [INFO]: Authentication Event | {"service":"voting-system","userId":"1","action":"ADMIN_LOGIN","category":"AUTH"}
2025-11-07 16:59:08 [INFO]: Statistics Generated | {"service":"voting-system","stats":{"totalVoters":11,"totalVotesCast":12,"voterTurnout":54.55,"positionsWithStats":[{"positionId":5,"positionName":"President","totalCandidates":4,"totalVotes":24,"voterTurnout":54.55,"candidates":[{"candidateId":3,"candidateName":"TIE: Alice Johnson","manifesto":"Experienced leader focused on student welfare and academic excellence.","voteCount":2,"votePercentage":33.33},{"candidateId":4,"candidateName":"TIE: Bob Smith","manifesto":"Tech-savvy innovator dedicated to modernizing club operations.","voteCount":2,"votePercentage":33.33},{"candidateId":5,"candidateName":"Carol Williams","manifesto":"Community organizer with strong communication skills.","voteCount":1,"votePercentage":16.67},{"candidateId":9,"candidateName":"Yohane Maluwa","manifesto":"Inetu ndichitenga ichi.","voteCount":1,"votePercentage":16.67}]},{"positionId":6,"positionName":"Vice President","totalCandidates":3,"totalVotes":18,"voterTurnout":54.55,"candidates":[{"candidateId":6,"candidateName":"TIE: David Brown","manifesto":"Detail-oriented organizer with project management expertise.","voteCount":2,"votePercentage":33.33},{"candidateId":7,"candidateName":"TIE: Emma Davis","manifesto":"Creative thinker focused on event planning and member engagement.","voteCount":2,"votePercentage":33.33},{"candidateId":8,"candidateName":"TIE: Frank Wilson","manifesto":"Analytical problem-solver with financial management skills.","voteCount":2,"votePercentage":33.33}]}],"overallStats":{"totalPositions":2,"totalCandidates":7,"averageVotesPerPosition":6,"mostVotedPosition":"TIE: President & Vice President","leastVotedPosition":"TIE: President & Vice President"}},"category":"STATS"}
2025-11-07 16:59:08 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_STATS","target":"overall","details":{"totalVoters":11,"totalVotes":12},"category":"ADMIN"}
2025-11-07 16:59:12 [INFO]: Statistics Generated | {"service":"voting-system","stats":{"totalVoters":11,"totalVotesCast":12,"voterTurnout":54.55,"positionsWithStats":[{"positionId":5,"positionName":"President","totalCandidates":4,"totalVotes":24,"voterTurnout":54.55,"candidates":[{"candidateId":3,"candidateName":"TIE: Alice Johnson","manifesto":"Experienced leader focused on student welfare and academic excellence.","voteCount":2,"votePercentage":33.33},{"candidateId":4,"candidateName":"TIE: Bob Smith","manifesto":"Tech-savvy innovator dedicated to modernizing club operations.","voteCount":2,"votePercentage":33.33},{"candidateId":5,"candidateName":"Carol Williams","manifesto":"Community organizer with strong communication skills.","voteCount":1,"votePercentage":16.67},{"candidateId":9,"candidateName":"Yohane Maluwa","manifesto":"Inetu ndichitenga ichi.","voteCount":1,"votePercentage":16.67}]},{"positionId":6,"positionName":"Vice President","totalCandidates":3,"totalVotes":18,"voterTurnout":54.55,"candidates":[{"candidateId":6,"candidateName":"TIE: David Brown","manifesto":"Detail-oriented organizer with project management expertise.","voteCount":2,"votePercentage":33.33},{"candidateId":7,"candidateName":"TIE: Emma Davis","manifesto":"Creative thinker focused on event planning and member engagement.","voteCount":2,"votePercentage":33.33},{"candidateId":8,"candidateName":"TIE: Frank Wilson","manifesto":"Analytical problem-solver with financial management skills.","voteCount":2,"votePercentage":33.33}]}],"overallStats":{"totalPositions":2,"totalCandidates":7,"averageVotesPerPosition":6,"mostVotedPosition":"TIE: President & Vice President","leastVotedPosition":"TIE: President & Vice President"}},"category":"STATS"}
2025-11-07 16:59:12 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_STATS","target":"overall","details":{"totalVoters":11,"totalVotes":12},"category":"ADMIN"}
2025-11-07 16:59:20 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_AUDIT_LOGS","target":"audit_log_list","details":{"count":23,"role":"super_admin"},"category":"ADMIN"}
2025-11-07 16:59:20 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_AUDIT_LOGS","target":"audit_log_list","details":{"count":23,"role":"super_admin"},"category":"ADMIN"}
2025-11-07 16:59:59 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_AUDIT_LOGS","target":"audit_log_list","details":{"count":25,"role":"super_admin"},"category":"ADMIN"}
2025-11-07 17:00:01 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_AUDIT_LOGS","target":"audit_log_list","details":{"count":26,"role":"super_admin"},"category":"ADMIN"}
2025-11-07 17:00:03 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_AUDIT_LOGS","target":"audit_log_list","details":{"count":27,"role":"super_admin"},"category":"ADMIN"}
2025-11-07 17:00:05 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_AUDIT_LOGS","target":"audit_log_list","details":{"count":28,"role":"super_admin"},"category":"ADMIN"}
2025-11-07 17:00:31 [INFO]: Admin Action | {"service":"voting-system","adminId":"1","action":"DEACTIVATE_ADMIN","target":"3","category":"ADMIN"}
2025-11-07 17:00:31 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"positions:all","source":"getPositions"},"category":"AUDIT"}
2025-11-07 17:00:31 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:5:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 17:00:31 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:6:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 17:00:36 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_AUDIT_LOGS","target":"audit_log_list","details":{"count":33,"role":"super_admin"},"category":"ADMIN"}
2025-11-07 17:00:36 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_AUDIT_LOGS","target":"audit_log_list","details":{"count":33,"role":"super_admin"},"category":"ADMIN"}
2025-11-07 17:00:43 [INFO]: Statistics Generated | {"service":"voting-system","stats":{"totalVoters":11,"totalVotesCast":12,"voterTurnout":54.55,"positionsWithStats":[{"positionId":5,"positionName":"President","totalCandidates":4,"totalVotes":24,"voterTurnout":54.55,"candidates":[{"candidateId":3,"candidateName":"TIE: Alice Johnson","manifesto":"Experienced leader focused on student welfare and academic excellence.","voteCount":2,"votePercentage":33.33},{"candidateId":4,"candidateName":"TIE: Bob Smith","manifesto":"Tech-savvy innovator dedicated to modernizing club operations.","voteCount":2,"votePercentage":33.33},{"candidateId":5,"candidateName":"Carol Williams","manifesto":"Community organizer with strong communication skills.","voteCount":1,"votePercentage":16.67},{"candidateId":9,"candidateName":"Yohane Maluwa","manifesto":"Inetu ndichitenga ichi.","voteCount":1,"votePercentage":16.67}]},{"positionId":6,"positionName":"Vice President","totalCandidates":3,"totalVotes":18,"voterTurnout":54.55,"candidates":[{"candidateId":6,"candidateName":"TIE: David Brown","manifesto":"Detail-oriented organizer with project management expertise.","voteCount":2,"votePercentage":33.33},{"candidateId":7,"candidateName":"TIE: Emma Davis","manifesto":"Creative thinker focused on event planning and member engagement.","voteCount":2,"votePercentage":33.33},{"candidateId":8,"candidateName":"TIE: Frank Wilson","manifesto":"Analytical problem-solver with financial management skills.","voteCount":2,"votePercentage":33.33}]}],"overallStats":{"totalPositions":2,"totalCandidates":7,"averageVotesPerPosition":6,"mostVotedPosition":"TIE: President & Vice President","leastVotedPosition":"TIE: President & Vice President"}},"category":"STATS"}
2025-11-07 17:00:43 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_STATS","target":"overall","details":{"totalVoters":11,"totalVotes":12},"category":"ADMIN"}
2025-11-07 17:00:43 [INFO]: Statistics Generated | {"service":"voting-system","stats":{"totalVoters":11,"totalVotesCast":12,"voterTurnout":54.55,"positionsWithStats":[{"positionId":5,"positionName":"President","totalCandidates":4,"totalVotes":24,"voterTurnout":54.55,"candidates":[{"candidateId":3,"candidateName":"TIE: Alice Johnson","manifesto":"Experienced leader focused on student welfare and academic excellence.","voteCount":2,"votePercentage":33.33},{"candidateId":4,"candidateName":"TIE: Bob Smith","manifesto":"Tech-savvy innovator dedicated to modernizing club operations.","voteCount":2,"votePercentage":33.33},{"candidateId":5,"candidateName":"Carol Williams","manifesto":"Community organizer with strong communication skills.","voteCount":1,"votePercentage":16.67},{"candidateId":9,"candidateName":"Yohane Maluwa","manifesto":"Inetu ndichitenga ichi.","voteCount":1,"votePercentage":16.67}]},{"positionId":6,"positionName":"Vice President","totalCandidates":3,"totalVotes":18,"voterTurnout":54.55,"candidates":[{"candidateId":6,"candidateName":"TIE: David Brown","manifesto":"Detail-oriented organizer with project management expertise.","voteCount":2,"votePercentage":33.33},{"candidateId":7,"candidateName":"TIE: Emma Davis","manifesto":"Creative thinker focused on event planning and member engagement.","voteCount":2,"votePercentage":33.33},{"candidateId":8,"candidateName":"TIE: Frank Wilson","manifesto":"Analytical problem-solver with financial management skills.","voteCount":2,"votePercentage":33.33}]}],"overallStats":{"totalPositions":2,"totalCandidates":7,"averageVotesPerPosition":6,"mostVotedPosition":"TIE: President & Vice President","leastVotedPosition":"TIE: President & Vice President"}},"category":"STATS"}
2025-11-07 17:00:43 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_STATS","target":"overall","details":{"totalVoters":11,"totalVotes":12},"category":"ADMIN"}
2025-11-07 17:01:18 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_TRENDS","target":"voting_trends","category":"ADMIN"}
2025-11-07 17:01:18 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_TRENDS","target":"voting_trends","category":"ADMIN"}
2025-11-07 17:01:24 [INFO]: Statistics Generated | {"service":"voting-system","stats":{"totalVoters":11,"totalVotesCast":12,"voterTurnout":54.55,"positionsWithStats":[{"positionId":5,"positionName":"President","totalCandidates":4,"totalVotes":24,"voterTurnout":54.55,"candidates":[{"candidateId":3,"candidateName":"TIE: Alice Johnson","manifesto":"Experienced leader focused on student welfare and academic excellence.","voteCount":2,"votePercentage":33.33},{"candidateId":4,"candidateName":"TIE: Bob Smith","manifesto":"Tech-savvy innovator dedicated to modernizing club operations.","voteCount":2,"votePercentage":33.33},{"candidateId":5,"candidateName":"Carol Williams","manifesto":"Community organizer with strong communication skills.","voteCount":1,"votePercentage":16.67},{"candidateId":9,"candidateName":"Yohane Maluwa","manifesto":"Inetu ndichitenga ichi.","voteCount":1,"votePercentage":16.67}]},{"positionId":6,"positionName":"Vice President","totalCandidates":3,"totalVotes":18,"voterTurnout":54.55,"candidates":[{"candidateId":6,"candidateName":"TIE: David Brown","manifesto":"Detail-oriented organizer with project management expertise.","voteCount":2,"votePercentage":33.33},{"candidateId":7,"candidateName":"TIE: Emma Davis","manifesto":"Creative thinker focused on event planning and member engagement.","voteCount":2,"votePercentage":33.33},{"candidateId":8,"candidateName":"TIE: Frank Wilson","manifesto":"Analytical problem-solver with financial management skills.","voteCount":2,"votePercentage":33.33}]}],"overallStats":{"totalPositions":2,"totalCandidates":7,"averageVotesPerPosition":6,"mostVotedPosition":"TIE: President & Vice President","leastVotedPosition":"TIE: President & Vice President"}},"category":"STATS"}
2025-11-07 17:01:24 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_STATS","target":"overall","details":{"totalVoters":11,"totalVotes":12},"category":"ADMIN"}
2025-11-07 17:01:24 [INFO]: Statistics Generated | {"service":"voting-system","stats":{"totalVoters":11,"totalVotesCast":12,"voterTurnout":54.55,"positionsWithStats":[{"positionId":5,"positionName":"President","totalCandidates":4,"totalVotes":24,"voterTurnout":54.55,"candidates":[{"candidateId":3,"candidateName":"TIE: Alice Johnson","manifesto":"Experienced leader focused on student welfare and academic excellence.","voteCount":2,"votePercentage":33.33},{"candidateId":4,"candidateName":"TIE: Bob Smith","manifesto":"Tech-savvy innovator dedicated to modernizing club operations.","voteCount":2,"votePercentage":33.33},{"candidateId":5,"candidateName":"Carol Williams","manifesto":"Community organizer with strong communication skills.","voteCount":1,"votePercentage":16.67},{"candidateId":9,"candidateName":"Yohane Maluwa","manifesto":"Inetu ndichitenga ichi.","voteCount":1,"votePercentage":16.67}]},{"positionId":6,"positionName":"Vice President","totalCandidates":3,"totalVotes":18,"voterTurnout":54.55,"candidates":[{"candidateId":6,"candidateName":"TIE: David Brown","manifesto":"Detail-oriented organizer with project management expertise.","voteCount":2,"votePercentage":33.33},{"candidateId":7,"candidateName":"TIE: Emma Davis","manifesto":"Creative thinker focused on event planning and member engagement.","voteCount":2,"votePercentage":33.33},{"candidateId":8,"candidateName":"TIE: Frank Wilson","manifesto":"Analytical problem-solver with financial management skills.","voteCount":2,"votePercentage":33.33}]}],"overallStats":{"totalPositions":2,"totalCandidates":7,"averageVotesPerPosition":6,"mostVotedPosition":"TIE: President & Vice President","leastVotedPosition":"TIE: President & Vice President"}},"category":"STATS"}
2025-11-07 17:01:24 [INFO]: Admin Action | {"service":"voting-system","adminId":1,"action":"VIEW_STATS","target":"overall","details":{"totalVoters":11,"totalVotes":12},"category":"ADMIN"}
